78538,44495,31795,126565,500003,19190
14095,44355,32983,117533,259800,69996
59521,48824,63603,39118,71823,53512
94791,147462,40681,39527,32190,47952
69214,113184,53065,88679,13590,17895
93679,100535,55723,109858,45193,60243
50429,62794,110951,46019,46225,104573
19750,64806,28621,89327,13979,138708
133277,82308,276532,139083,546071,88099
29180,367991,234103,212083,39492,30333
25862,88903,122721,69560,44253,40288
51338,63351,141477,40043,53255,51006
480776,48863,67073,74615,51354,97644
81527,123828,59204,83811,43756,81091
44938,76177,48003,80702,22527,105478
43100,124313,50750,29638,51639,87299
45965,58240,83305,98025,-,-
